item_id,board_id,group_id,name,status,assignee,due_date,priority,created_at,updated_at,notes,timeline_from,timeline_to
item_eq_audit,board_tourn,group_todo,Equipment Audit,Not Started,Aaron Delgado,2027-01-10,High,2026-12-01T09:00:00-07:00,2027-01-05T07:00:00-07:00,Full inventory count and condition check,2027-01-05,2027-01-10
item_ref_sched,board_tourn,group_todo,Referee Scheduling,Not Started,Tom Iverson,2027-01-12,Medium,2026-12-01T09:00:00-07:00,2026-12-28T10:00:00-07:00,Need 4 certified refs for adult and youth divisions,2027-01-01,2027-01-12
item_photo,board_tourn,group_todo,Photography Setup,Not Started,Volunteer TBD,2027-01-15,Low,2026-12-10T09:00:00-07:00,2026-12-25T10:00:00-07:00,Maya Chen volunteered,2027-01-15,2027-01-15
item_venue,board_tourn,group_progress,Venue Prep Checklist,In Progress,Tom Iverson,2027-01-08,High,2026-12-01T09:00:00-07:00,2027-01-03T14:00:00-07:00,"Court tape, seating, medical station",2027-01-01,2027-01-16
item_reg,board_tourn,group_progress,Student Registration,In Progress,Aaron Delgado,2027-01-09,Medium,2026-12-01T09:00:00-07:00,2027-01-01T11:00:00-07:00,"12 registered so far, target 28-36 total",2026-12-15,2027-01-12
item_insurance,board_tourn,group_done,Insurance Filing,Done,Aaron Delgado,2026-12-30,Medium,2026-12-01T09:00:00-07:00,2026-12-30T09:00:00-07:00,COI filed and confirmed,2026-12-15,2026-12-30
item_invite,board_tourn,group_done,Invitations Sent,Done,Tom Iverson,2026-12-25,Low,2026-12-01T09:00:00-07:00,2026-12-25T12:00:00-07:00,Email invitations sent to all dojos in region,2026-12-20,2026-12-25
item_budget,board_tourn,group_done,Budget Approval,Done,Aaron Delgado,2026-12-20,Medium,2026-11-15T09:00:00-07:00,2026-12-20T15:00:00-07:00,"Total budget approved at $1,225",2026-12-01,2026-12-20
item_equip_maint,board_ops,group_ops_progress,Monthly Equipment Check,In Progress,Raj Patel,2027-01-15,Medium,2027-01-01T09:00:00-07:00,2027-01-03T09:00:00-07:00,Regular monthly maintenance round,2027-01-01,2027-01-15
item_class_sched,board_ops,group_ops_done,Fall Class Schedule Posted,Done,Tom Iverson,2026-12-01,High,2026-11-20T09:00:00-07:00,2026-12-01T08:00:00-07:00,Schedule confirmed and posted on website,2026-11-25,2026-12-01
